Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag,Rolling_7d
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-01,2024,1,1,,0.1,,-5.2,,-2.5,,20.5,,0.0,,,,,,0.0,,5.0,,31.0,,36.0,,-2.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-02,2024,1,2,,-1.5,,-6.9,,-4.2,,22.2,,0.0,,,,,,0.0,,5.0,,,,,,-3.35
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-03,2024,1,3,,1.5,,-1.5,,0.0,,18.0,,0.0,,,,,,0.0,,5.0,,,,,,-2.2333333333333334
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-04,2024,1,4,,-0.2,,-1.5,,-0.8,,18.8,,0.0,,,,,,0.2,,5.0,,3.0,,36.0,,-1.875
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-05,2024,1,5,,-1.5,,-4.9,,-3.2,,21.2,,0.0,,,,,,16.6,,7.0,,31.0,,66.0,,-2.1399999999999997
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-06,2024,1,6,,-3.0,,-12.3,,-7.7,,25.7,,0.0,,,,,,1.1,,29.0,,32.0,,68.0,,-3.0666666666666664
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-07,2024,1,7,,-4.9,,-11.4,,-8.1,,26.1,,0.0,,,,,,0.2,,19.0,,30.0,,64.0,,-3.7857142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-08,2024,1,8,,-1.7,,-6.0,,-3.9,,21.9,,0.0,,,,,,0.0,,15.0,,31.0,,51.0,,-3.9857142857142853
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-09,2024,1,9,,-3.3,,-7.9,,-5.6,,23.6,,0.0,,,,,,0.0,,15.0,,30.0,,46.0,,-4.185714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-10,2024,1,10,,-2.4,,-8.5,,-5.5,,23.5,,0.0,,,,,,0.6,,15.0,,13.0,,52.0,,-4.971428571428571
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-11,2024,1,11,,1.9,,-2.4,,-0.3,,18.3,,0.0,,,,,,2.9,,15.0,,16.0,,67.0,,-4.8999999999999995
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-12,2024,1,12,,4.7,,-2.6,,1.0,,17.0,,0.0,,,,,,0.0,,12.0,,20.0,,32.0,,-4.3
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-13,2024,1,13,,-1.1,,-3.2,,-2.1,,20.1,,0.0,,,,,,0.0,,10.0,,,,,,-3.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-14,2024,1,14,,1.5,,-2.8,,-0.7,,18.7,,0.0,,,,,,1.7,,10.0,,17.0,,34.0,,-2.442857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-15,2024,1,15,,2.9,,-2.3,,0.3,,17.7,,0.0,,,,,,0.2,,10.0,,25.0,,45.0,,-1.842857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-16,2024,1,16,,-1.8,,-9.7,,-5.7,,23.7,,0.0,,,,,,0.0,,9.0,,26.0,,46.0,,-1.8571428571428572
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-17,2024,1,17,,7.1,,-5.3,,0.9,,17.1,,0.0,,,,,,16.9,,9.0,,26.0,,65.0,,-0.942857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-18,2024,1,18,,-1.6,,-6.4,,-4.0,,22.0,,0.0,,,,,,2.6,,3.0,,25.0,,67.0,,-1.4714285714285715
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-19,2024,1,19,,-3.0,,-5.6,,-4.3,,22.3,,0.0,,,,,,0.0,,3.0,,25.0,,71.0,,-2.2285714285714286
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-20,2024,1,20,,-2.3,,-5.5,,-3.9,,21.9,,0.0,,,,,,0.6,,3.0,,2.0,,32.0,,-2.4857142857142853
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-21,2024,1,21,,1.0,,-6.5,,-2.8,,20.8,,0.0,,,,,,0.0,,3.0,,3.0,,43.0,,-2.7857142857142856
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-22,2024,1,22,,-0.7,,-5.3,,-3.0,,21.0,,0.0,,,,,,0.0,,3.0,,28.0,,47.0,,-3.257142857142857
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-23,2024,1,23,,-0.4,,-14.3,,-7.4,,25.4,,0.0,,,,,,3.2,,5.0,,31.0,,62.0,,-3.5
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-24,2024,1,24,,-5.4,,-15.5,,-10.4,,28.4,,0.0,,,,,,0.0,,3.0,,28.0,,67.0,,-5.114285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-25,2024,1,25,,0.5,,-7.0,,-3.3,,21.3,,0.0,,,,,,2.4,,3.0,,24.0,,60.0,,-5.014285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-26,2024,1,26,,-4.7,,-8.4,,-6.5,,24.5,,0.0,,,,,,0.0,,6.0,,1.0,,36.0,,-5.328571428571428
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-27,2024,1,27,,-0.4,,-8.9,,-4.7,,22.7,,0.0,,,,,,0.0,,5.0,,,,,,-5.442857142857143
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-28,2024,1,28,,-0.4,,-6.1,,-3.3,,21.3,,0.0,,,,,,0.0,,6.0,,28.0,,38.0,,-5.514285714285714
-52.78,47.51,ST JOHNS WEST CLIMATE,8403603,2024-01-29,2024,1,29,,-1.5,,-6.6,,-4.0,,22.0,,0.0,,,,,,12.8,,6.0,,1.0,,62.0,,-5.6571428571428575
